"";"fala";"autor";"comentario";"data"
"1";"– Havendo número regimental, declaro aberta a 69ª Reunião da Comissão Parlamentar de Inquérito criada pelos Requerimentos nºs 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal...";"Presidente";"Omar Aziz. PSD - AM. Fala da Presidência.";"26/10/2021"
"2";"Eu quero aqui dizer que participei das 69 reuniões que teve aqui. Nas 69 reuniões, eu estive presente.";"Presidente";"Omar Aziz. PSD - AM. Fala da Presidência.";"26/10/2021"
"3";"– Eu também.";"Humberto Costa";"Bloco Parlamentar da Resistência Democrática/PT - PE. Fora do microfone.";"26/10/2021"
"4";"– Você também e o Senador...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"5";"Nós fizemos 69 reuniões e eu estive presente em todas.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"6";"– Presidente, pela ordem.";"Randolfe Rodrigues";"PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"7";"– ... criada pelos Requerimentos 1.371 e 1.372, de 2021, para apurar as ações e omissões do Governo Federal no enfrentamento da pandemia da covid-19, bem como outras ações ou omissões cometidas por administradores públicos federais, estaduais ou municipais no trato com a coisa pública durante a vigência da calamidade originada pela pandemia do coronavírus.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"8";"A presente reunião destina-se à discussão e à deliberação do relatório final.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"9";"Registro que já foi concedida vista desde o dia 20 de outubro até a presente data, nos termos do art. 132 do Regimento Interno.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"10";"Senador Randolfe, pela ordem.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"11";"– Presidente, requeiro de V. Exa., nos termos regimentais, que submeta à apreciação do Plenário o Requerimento nº 1.586, de 2021, de autoria de S. Exa. o Senador Alessandro Vieira, e o Requerimento 1.587, de 2021, de autoria deste Senador.";"Randolfe Rodrigues";"PDT/CIDADANIA/REDE/REDE - AP. Pela ordem.";"26/10/2021"
"12";"– O Requerimento 1.586, do Senador Alessandro Vieira, requer o envio do presente requerimento ao Ministro do Supremo Tribunal Federal Alexandre de Moraes, Relator do Inquérito 4.781, para que tome ciência da reiterada e flagrante conduta potencialmente criminosa do Senhor Presidente da República, em especial dos termos da declaração do Senhor Presidente da República, no dia 21 de outubro do corrente ano, em grave prejuízo à garantia da ordem pública, contexto em que abundam provas de materialidade e indícios bastantes de autoria, determinando-se a retirada do conteúdo do ar e adotando-se as demais providências que entender pertinentes.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"13";"Requerimento do Senador Alessandro Vieira em votação.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"14";"Os que aprovam permaneçam como estão.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"15";"– Presidente...";"Eduardo Braga";"Bloco Parlamentar Unidos pelo Brasil/MDB - AM";"26/10/2021"
"16";"– Aprovado.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"17";"– Peça para...";"Eduardo Braga";"Bloco Parlamentar Unidos pelo Brasil/MDB - AM";"26/10/2021"
"18";"– Aprovado, aprovado. Está aprovado.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"19";"– Está aprovado, mas, Sr. Presidente, eu queria uma cópia do outro.";"Eduardo Braga";"Bloco Parlamentar Unidos pelo Brasil/MDB - AM";"26/10/2021"
"20";"– Requerimento...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"21";"– Eu não conheço o teor do outro requerimento.";"Eduardo Braga";"Bloco Parlamentar Unidos pelo Brasil/MDB - AM";"26/10/2021"
"22";"– Requerimento 1.587. Passe a cópia para o Senador Eduardo Braga, por favor.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"23";"– O voto contrário, Sr. Presidente, o senhor registre aí.";"Jorginho Mello";"Bloco Parlamentar Vanguarda/PL - SC. Fora do microfone.";"26/10/2021"
"24";"– Do Senador Randolfe Rodrigues, requer a transferência de sigilos, a suspensão de acesso a redes sociais e a retratação do Presidente da República quanto à sua recente declaração sobre a covid-19 e HIV.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"25";"Em votação.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"26";"Os que aprovam permaneçam como estão.";"Presidente";"Pausa.";"26/10/2021"
"27";"Aprovado.";"Presidente";"Pausa.";"26/10/2021"
"28";"– Jorginho contra.";"Jorginho Mello";"Bloco Parlamentar Vanguarda/PL - SC. Fora do microfone.";"26/10/2021"
"29";"– Jorginho é contra?";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"30";"– Contra os dois.";"Jorginho Mello";"Bloco Parlamentar Vanguarda/PL - SC. Fora do microfone.";"26/10/2021"
"31";"– Os dois requerimentos?";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"32";"– É, o primeiro, votei contra – quero que V. Exa. consigne – e esse também.";"Jorginho Mello";"Bloco Parlamentar Vanguarda/PL - SC. Fora do microfone.";"26/10/2021"
"33";"– O Senador Jorginho é contra. Ele acha que as palavras do Presidente são corretas.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"34";"– Eu não pedi comentário, Presidente. Eu só votei contra.";"Jorginho Mello";"Bloco Parlamentar Vanguarda/PL - SC";"26/10/2021"
"35";"– Não, não. Eu só estou dizendo que o senhor é contra, e eu acho que quando a gente vota contra é porque está contra o requerimento. É só isso, Senador Jorginho; não estou falando mais nada. Eu só acho, Senador Randolfe, que nós estamos votando, neste colegiado, Senador Eduardo Braga, Senador Jorginho, mas quem tinha que tomar essa providência também era o Congresso Nacional. Isso é muito grave, o que foi colocado pelo Presidente da República. Acho que o Congresso tinha que se posicionar em relação a isso.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"36";"– Nós podemos, Sr. Presidente, fazer uma recomendação da Comissão Parlamentar de Inquérito para a Presidência do Congresso, para que tome providências nesse sentido.";"Eduardo Braga";"Bloco Parlamentar Unidos pelo Brasil/MDB - AM. Pela ordem.";"26/10/2021"
"37";"– Eu acho que nós precisamos fazer isso, Senador Alessandro. Sabe por quê? O Presidente é uma instituição, a Presidência é uma instituição; a Presidência não é um cargo de boteco em que você fala o que quer tomando cerveja o comendo churrasquinho. Presidente da República que se reporta ao povo brasileiro baseado num estudo que não tem cabimento nenhum e fala uma coisa dessa, quando nós estamos implorando para a população se vacinar... Veja bem...";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"38";"E tem gente ainda que disse para mim, Senador Randolfe, Senador Renan: ""Será que a PGR vai engavetar? Será que isso vai andar?"". Os fatos são maiores do que qualquer argumento que possa se escrever. São provas que foram dadas à população brasileira. Se você quiser, tem 50, 60 milhões de brasileiros como testemunhas dessas provas que estão no relatório.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"39";"E uma outra coisa, Senador Randolfe, Senador Renan Calheiros, deixar claro: não existe acordo para indiciamento. Os indiciamentos que foram feitos pela CPI, todos, sem exceção, foram discutidos e, após serem discutidos e de se ter fatos concretos, eles foram feitos. Então, não é um acordo – tira fulano, coloca sicrano. Todos os indiciamentos aqui, dos pedidos que os Senadores fizeram, não é acordo; é fato, porque, senão, pode parecer: ""Ah, não, olha, vamos proteger fulano e tirar sicrano"". Não é isso. Esse comportamento da Presidência não houve durante todas as sessões, não houve, de forma nenhuma.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"40";"O Senador Renan Calheiros sabe muito bem disso, que não há acordo para tirar nomes ou colocar nomes. Os fatos são maiores, e a gente colocou indiciamento do Presidente da República a servidor ou a empresário, foi porque tinha fatos concretos; não é por causa de acordo: ""Olha, vamos tirar o Deputado tal e vamos colocar o outro Deputado"". Não existiu isso.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"41";"Não existe isso, vamos deixar clara essa situação. Em relação... ""Ah, um acordo; o senhor aceita um acordo?"". Não é isso, não existe acordo para isso. O fato é maior do que qualquer acordo que possa ser feito. Então, o relatório do Senador Renan Calheiros, por sinal bastante robusto, com provas concretas, nós iremos votar daqui a pouco.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
